session_date,commodity,settlement_price,schwab_symbol,yfinance_symbol,source,captured_at,provenance_status
2026-07-21,RB,3.4056,/RBQ26,RBQ26.NYM,schwab,2026-07-21T13:30:48.729359-05:00,verified
2026-07-21,HO,4.1337,/HOQ26,HOQ26.NYM,schwab,2026-07-21T13:30:48.729359-05:00,verified
2026-07-22,RB,3.4201,/RBQ26,RBQ26.NYM,schwab,2026-07-22T13:30:47.660716-05:00,verified
2026-07-22,HO,4.1515,/HOQ26,HOQ26.NYM,schwab,2026-07-22T13:30:47.660716-05:00,verified
2026-07-23,RB,3.4930,,,schwab_pricehistory,,unknown
2026-07-23,HO,4.3570,,,schwab_pricehistory,,unknown
2026-07-24,RB,3.3972,/RBQ26,RBQ26.NYM,schwab,2026-07-24T13:30:41.086708-05:00,verified
2026-07-24,HO,4.1812,/HOQ26,HOQ26.NYM,schwab,2026-07-24T13:30:41.086708-05:00,verified
2026-07-27,RB,3.3255,/RBQ26,RBQ26.NYM,schwab,2026-07-27T13:30:45.166598-05:00,verified
2026-07-27,HO,4.1096,/HOQ26,HOQ26.NYM,schwab,2026-07-27T13:30:45.166598-05:00,verified
2026-07-28,RB,3.3355,/RBQ26,RBQ26.NYM,schwab,2026-07-28T13:30:47.111474-05:00,verified
2026-07-28,HO,4.1550,/HOQ26,HOQ26.NYM,schwab,2026-07-28T13:30:47.111474-05:00,verified
2026-07-29,RB,3.4010,/RBQ26,RBQ26.NYM,schwab,2026-07-29T13:30:40.846989-05:00,verified
2026-07-29,HO,4.3749,/HOQ26,HOQ26.NYM,schwab,2026-07-29T13:30:40.846989-05:00,verified
2026-07-30,RB,3.1283,/RBU26,RBU26.NYM,schwab,2026-07-30T13:30:52.478666-05:00,verified
2026-07-30,HO,4.1189,/HOU26,HOU26.NYM,schwab,2026-07-30T13:30:52.478666-05:00,verified
